Food_ID,Name,C_Type,Veg_Non,Describe
1,Spicy Green Papaya Salad,Thai,veg,"Som Tam is a flavorful, green papaya salad dish with a spicy twist. This salad is unlike other salads you may have tried before. Shredded papaya is blended with fish sauce, lime juice, red chillies, tamarind juice, roasted peanuts, and Vegetables. The Veg, chilli and tangy taste of the Som Tam salad makes it a hot favourite Thai dish."
2,Thai Fried Noodles,Thai,veg,"ad Thai is one of the most iconic stir-fried Thai dish. A balanced mix of seafood, Veggies and sauces complete the exquisite taste of this cuisine. Roasted peanuts and herbs are then added on top. It is well-known for its distinctively Veg, sour, and salty Thai flavours. Moreover, Pad Thai will arouse your taste and inspire you to discover more about Thai cuisine."
3,Hamburger,American,non-veg,"A sandwich made with a beef patty and various toppings such as lettuce, tomato, and cheese"
4,Raw Papaya Salad,Thai,veg,"This Som Tum salad is as delicious as it is fiery. Toss shaved papaya into a mortar and pestle with carrots, tomatoes, red chillies, lemon juice and soy sauce for that zesty flavour. Garnish with crushed peanuts before serving."
5,christmas cake,Dessert,veg,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs"
6,Veg potato pie,American,veg,"A pie made with Veg potatoes, sugar, and spices"
7,chocolate nero cookies,Dessert,veg,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar"
8,Chicken and Tofu Satay,Thai,non-veg,"Marinated in oriental flavours and grilled to perfection, serve this Thai appetiser with a tangy peanut sauce and bask in the glory of your party."
9,Rocky's Pad Thai,Thai,non-veg,"Recreate the brilliance of Pad Thai wherever you are, all thanks to Rocky Singh. It's a delicious mix of flat rice noodles tossed with chicken, prawns, onions, bean sprouts, garlic, and tamarind."
10,Thai Steamed Fish,Thai,non-veg,Fish fillets steamed in a range of assorted oriental flavours and drizzled with a Veg and sour sauce.
11,Thai Fish Cakes with Pineapple Chutney,Thai,non-veg,"Coated with breadcrumbs and fried golden, these Thai Fish Cakes are the perfect way to woo your loved ones. Spruce it up with a Veg pineapple chutney to balance the flavours."
12,Crispy meat hot dog,American,non-veg,"A sausage served in a bun with various condiments such as ketchup, mustard, and relish"
13,Veg Manchurian,Chinese,veg,A fried Vegetable ball served in a spicy sauce.
14,Veg Spring Rolls,Chinese,veg,A fried snack made with Vegetables and noodles wrapped in a thin dough.
15,Aloo tikki,Indian,veg,Patties of potato mixed with some Vegetables fried
16,Aloo matar,Indian,veg,Potatoes and peas in curry
17,Fried chicken,American,non-veg,Chicken that has been battered and fried
18,grilled almond barfi,Dessert,veg,"khoya, sweetener (optional), almonds (crushed)"
19,Veg Pizza,American,veg,"A dish made with a dough base topped with tomato sauce, cheese, and various toppings such corn capsicum and fresh veggies"
20,Mac and cheese,American,veg,A pasta dish made with macaroni and cheese sauce
21,apple rabdi,Dessert,veg,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)"
22,Cornbread,American,veg,"A bread made with cornmeal, often served as a side dish"
23,dates and nuts ladoo,Dessert,veg,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)"
24,green lentil dessert fudge,Dessert,veg,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)"
25,cashew nut cookies,Dessert,veg,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour"
26,Red beans and rice,American,veg,"A dish made with red beans, rice, and various spices, often associated with Louisiana Creole cuisine"
27,Vegetable Fried Rice,Chinese,veg,Rice stir fried with Vegetables.
28,Vegetable Manchow Soup,Chinese,veg,A soup made with Vegetables and crispy noodles.
29,Veal Marsala,Italian,non-veg,veal cutlets with a Marsala wine sauce
30,Pizza Margherita Extra,Italian,veg,an upgraded version of the classic Margherita pizza with buffalo mozzarella and cherry tomatoes
