User_ID,Food_ID,Rating
1,88,4
1,46,5
1,24,4
1,25,5
2,49,5
2,33,5
2,106,4
2,71,3
3,73,4
3,110,4
3,168,5
3,201,5
3,209,3
3,46,5
3,65,4
3,292,3
3,299,5
4,14,5
4,141,4
4,170,5
4,212,4
4,128,5
4,21,2
5,52,5
5,64,4
5,198,3
5,241,4
5,8,4
5,27,4
6,22,2
6,185,2
6,207,2
6,213,5
7,131,4
7,109,2
7,116,5
7,220,3
7,21,3
7,31,4
8,101,2
8,138,3
8,140,5
8,201,4
8,242,3
8,224,5
8,128,4
8,163,4
9,15,5
9,60,4
9,91,2
9,2,4
9,180,5
9,182,5
9,184,4
9,244,4
10,70,5
10,44,4
10,227,3
10,100,3
10,250,5
11,35,4
11,154,4
11,258,4
11,200,5
11,274,3
11,48,5
12,38,4
12,169,3
13,74,4
13,127,5
14,17,3
14,51,4
14,87,3
14,134,4
14,267,5
14,272,5
15,29,4
15,116,4
15,130,5
15,149,5
15,43,3
15,214,4
15,238,3
15,29,5
16,243,4
16,10,3
16,270,3
16,282,5
16,291,5
17,23,5
17,58,3
17,114,4
17,8,5
17,251,5
17,278,4
17,7,4
18,18,5
18,133,4
18,153,4
18,37,2
18,31,4
18,17,3
19,9,5
19,11,4
19,211,1
19,249,5
19,84,5
20,46,3
20,261,4
21,13,5
21,42,5
21,126,1
21,230,3
21,185,2
21,280,5
22,165,2
22,2,5
22,127,3
22,53,3
22,275,4
23,26,3
23,223,5
24,23,2
24,193,4
24,51,5
25,55,5
25,63,5
25,57,5
25,178,3
25,287,3
26,15,5
26,104,3
26,55,5
26,45,5
27,161,2
27,213,3
27,273,5
27,207,4
27,86,4
27,54,1
27,279,5
28,54,4
28,162,5
28,50,5
28,5,5
29,34,5
29,200,5
29,281,1
29,300,5
30,53,3
30,304,1
31,80,1
31,129,5
31,150,5
31,188,5
31,74,5
31,232,4
31,240,3
31,230,4
31,264,3
31,285,5
32,32,4
32,39,4
32,71,1
32,94,5
32,127,5
32,91,2
32,244,4
32,263,1
32,143,1
32,290,4
32,309,5
33,166,4
33,248,5
34,163,3
34,65,4
34,12,2
35,28,5
35,147,3
35,68,3
35,15,1
36,25,4
36,45,3
36,96,4
36,155,5
36,49,2
36,212,3
36,16,4
36,23,1
36,184,5
36,19,5
37,98,3
37,191,1
37,218,4
37,283,3
38,42,4
38,160,2
38,130,3
38,243,4
38,186,4
39,2,5
39,28,2
39,30,3
39,86,4
39,175,5
39,195,4
39,256,5
39,50,4
39,5,5
40,111,2
41,4,3
41,100,3
41,51,3
41,259,2
42,84,2
42,196,5
42,284,4
42,294,4
42,296,5
43,34,4
43,6,5
43,72,5
43,85,5
43,174,3
43,213,4
43,32,3
43,11,4
44,245,5
44,295,5
45,47,2
45,57,3
45,10,3
45,108,3
45,181,3
45,208,5
45,236,2
46,102,3
46,59,3
46,136,5
46,236,4
46,68,4
46,184,4
47,19,1
47,62,4
47,225,3
47,199,2
47,49,5
48,7,5
48,58,1
48,119,4
48,172,4
48,85,3
48,9,3
49,1,5
49,21,3
49,77,5
49,139,5
49,171,4
49,205,3
49,44,3
49,276,5
49,6,3
50,19,5
50,81,4
50,95,2
50,57,4
50,158,3
50,167,2
50,225,3
51,136,3
51,151,5
51,53,4
52,44,5
52,187,4
52,69,3
52,254,2
52,268,3
52,211,1
53,128,2
53,189,4
53,190,5
53,226,4
53,22,3
54,65,4
54,109,5
54,113,3
54,146,4
54,25,3
54,204,2
54,100,1
54,259,5
54,255,1
54,301,1
55,52,5
55,90,2
55,121,3
55,117,4
55,163,2
55,13,1
55,288,3
56,289,5
56,298,4
56,305,5
57,33,3
57,78,4
57,75,4
57,164,3
57,67,1
57,271,1
58,137,1
58,84,5
59,43,4
59,43,3
59,99,5
59,145,3
59,171,5
59,239,5
59,270,5
60,107,1
60,221,4
60,144,2
61,177,3
61,45,3
61,22,3
62,58,4
62,59,4
62,9,4
62,74,4
62,108,4
62,118,4
62,124,4
62,157,2
62,183,1
62,265,4
62,215,5
63,17,3
63,61,5
63,136,5
63,186,4
63,7,5
63,269,3
64,18,5
64,23,2
64,303,3
65,48,4
65,165,5
66,92,4
66,192,4
67,146,4
67,156,2
67,203,5
67,16,5
67,252,4
67,47,4
68,22,5
68,76,4
68,47,5
68,142,3
68,179,5
68,186,5
68,199,4
68,219,5
69,46,5
69,126,4
69,23,5
69,25,5
70,7,4
70,16,2
70,68,4
70,83,5
70,122,3
70,262,5
70,18,4
70,56,5
70,277,4
71,50,4
71,1,5
71,137,1
71,206,5
71,7,4
71,53,3
71,307,1
72,221,3
72,222,1
73,56,1
73,135,4
73,234,2
73,5,4
74,56,3
74,132,3
74,44,3
75,37,2
75,12,3
76,115,5
76,23,1
76,216,5
77,3,1
77,20,4
77,6,3
77,123,5
77,204,5
77,228,4
77,163,2
78,32,5
78,246,5
78,21,4
78,302,5
79,36,3
79,173,3
79,163,4
79,15,4
80,66,5
80,103,5
80,112,4
80,49,4
80,56,4
80,21,5
80,257,5
80,49,5
80,306,4
81,197,5
81,63,3
81,65,3
81,286,3
82,8,5
82,12,4
82,16,4
82,27,4
82,229,5
82,235,4
82,257,2
82,87,4
83,41,5
83,79,1
84,18,5
84,253,4
85,47,5
85,202,3
85,238,4
86,24,1
86,159,2
86,224,5
86,237,4
86,31,3
86,260,4
87,29,1
87,200,2
87,137,4
88,5,3
88,10,3
88,210,2
88,48,5
89,120,3
89,143,4
89,148,4
89,163,5
89,3,4
90,4,3
90,75,3
90,126,5
91,176,5
91,163,1
91,231,5
91,247,5
92,6,1
92,53,5
92,105,5
92,62,3
92,64,3
93,18,5
93,125,5
93,130,5
93,266,5
94,117,4
94,5,2
94,48,3
94,243,5
94,255,4
95,67,1
95,228,3
95,28,5
95,297,5
96,89,4
96,97,4
96,222,3
96,51,5
96,271,4
96,293,5
97,20,1
97,31,3
97,46,4
97,144,3
97,64,4
97,215,5
97,308,3
98,35,4
98,40,5
98,5,4
98,82,2
98,47,2
98,194,2
98,217,3
99,49,3
99,69,4
99,93,4
99,152,2
99,65,4
99,22,1
100,24,5
100,233,5
100,29,4
101,91,4
102,41,5
103,41,4
104,299,5
105,17,5
106,37,5
107,37,5
108,182,4
109,171,5
110,41,4
111,30,5
112,41,5
113,41,3
114,229,5
115,182,5
116,149,5
117,262,5
118,149,5
119,37,5
120,91,5
121,37,5
122,100,4
123,91,4
124,149,5
125,242,5
126,284,5
127,149,4
128,37,3
129,171,5
130,37,5
131,37,5
132,98,4
133,239,5
134,277,4
135,255,5
136,121,5
137,262,5
138,92,5
139,51,5
140,255,5
141,37,5
142,171,4
143,219,4
144,72,5
145,7,5
146,73,5
147,18,5
148,75,3
149,21,5
150,76,4
151,23,4
152,77,3
153,24,5
154,80,4
155,25,5
156,81,4
157,32,4
158,82,2
159,51,5
160,66,4
161,84,3
162,69,3
163,16,4
164,186,5
165,25,4
166,199,5
167,40,4
168,206,5
169,2,4
170,78,3
171,88,3
172,30,4
173,207,5
174,55,4
175,208,5
176,60,3
177,209,5
178,210,2
179,213,4
180,216,4
181,219,4
182,220,4
183,51,4
184,224,5
185,225,4
186,228,3
187,229,4
188,230,5
189,232,5
190,232,5
191,234,4
192,236,5
193,237,4
